city,location,price,bedrooms,baths,size,year,source
Lahore,"DHA Phase 7, DHA Defence",70000000.0,5,6,4500.0,2025,live
Lahore,"State Life Housing Society, Lahore",66500000.0,5,6,4500.0,2025,live
Lahore,"Park View City, Lahore",16200000.0,4,5,1125.0,2025,live
Lahore,"DHA Phase 6, DHA Defence",87500000.0,5,6,4500.0,2025,live
Lahore,"Allama Iqbal Town, Lahore",37500000.0,5,5,2250.0,2025,live
Lahore,"DHA 9 Town, DHA Defence",21000000.0,3,3,1125.0,2025,live
Lahore,"Park View City, Lahore",17300000.0,4,4,1125.0,2025,live
Lahore,"Johar Town Phase 2 - Block L, Johar Town Phase 2",22000000.0,3,4,1125.0,2025,live
Lahore,"Johar Town Phase 2 - Block Q, Johar Town Phase 2",25000000.0,5,6,1125.0,2025,live
Lahore,"DHA Phase 7, DHA Defence",127500000.0,5,6,9000.0,2025,live
Lahore,"Bahria Town - Block BB, Bahria Town - Sector D",18500000.0,3,5,1350.0,2025,live
Lahore,"Audit & Accounts Phase 1, Audit & Accounts Housing Society",15000000.0,3,4,900.0,2025,live
Lahore,"PGECHS Phase 2, Punjab Govt Employees Society",94900000.0,8,6,9000.0,2025,live
Lahore,"Bahria Orchard, Lahore",12800000.0,3,4,1125.0,2025,live
Lahore,"DHA Phase 6, DHA Defence",74000000.0,5,5,4500.0,2025,live
Lahore,"Bahria Town, Lahore",21200000.0,3,4,1125.0,2025,live
Lahore,"New Lahore City, Lahore",10500000.0,3,4,675.0,2025,live
Lahore,"New Lahore City - Phase 2, New Lahore City",15000000.0,3,3,1125.0,2025,live
Lahore,"New Lahore City - Phase 2, New Lahore City",17500000.0,3,3,1125.0,2025,live
Lahore,"Gulberg, Lahore",13500000.0,1,1,495.0,2025,live
Lahore,"Rehmanpura (Ferozpur Road), Lahore",13500000.0,3,3,675.0,2025,live
Lahore,"Park View City, Lahore",17500000.0,4,4,1125.0,2025,live
Lahore,"DHA Phase 7, DHA Defence",67500000.0,5,6,4500.0,2025,live
Lahore,"DHA Phase 6, DHA Defence",292500000.0,6,7,9000.0,2025,live
Lahore,"DHA Phase 3, DHA Defence",79500000.0,5,6,4500.0,2025,live
Lahore,"Bahria Orchard Phase 1, Bahria Orchard",15800000.0,3,4,1125.0,2025,live
Lahore,"Park View City, Lahore",33000000.0,5,6,2250.0,2025,live
Lahore,"DHA Phase 8 - Block U, DHA Phase 8",180000000.0,6,0,4500.0,2025,live
Lahore,"DHA Phase 6 - Block A, DHA Phase 6",35000000.0,3,3,1125.0,2025,live
Lahore,"EME Society, Lahore",125000000.0,6,7,4500.0,2025,live
Lahore,"LDA Avenue - Block J, LDA Avenue",31500000.0,6,7,2250.0,2025,live
Lahore,"Park View City, Lahore",19500000.0,4,4,1125.0,2025,live
Lahore,"Bahria Orchard, Lahore",20000000.0,5,6,1800.0,2025,live
Lahore,"Bahria Orchard, Lahore",11100000.0,3,4,1125.0,2025,live
Lahore,"Bahria Orchard, Lahore",4900000.0,2,1,1125.0,2025,live
Lahore,"Sadaat Town, Lahore",17500000.0,3,4,1012.0,2025,live
Lahore,"Valencia Housing Society, Lahore",95000000.0,6,7,4500.0,2025,live
Lahore,"Central Park - Block G, Central Park Housing Scheme",40000000.0,5,6,2250.0,2025,live
Lahore,"DHA Phase 5, DHA Defence",99500000.0,7,7,4500.0,2025,live
Lahore,"Township - Sector A2, Township",18000000.0,6,3,1125.0,2025,live
Lahore,"Canal Bank Housing Scheme, Lahore",14500000.0,3,4,990.0,2025,live
Lahore,"Mehar Fayaz Colony, Lahore",15000000.0,3,4,1148.0,2025,live
Lahore,"Garden Town, Lahore",65000000.0,7,7,2250.0,2025,live
Lahore,"DHA Phase 6 - Block C, DHA Phase 6",149000000.0,8,7,4500.0,2025,live
Lahore,"DHA Phase 7, DHA Defence",95000000.0,5,6,4500.0,2025,live
Lahore,"Central Park Housing Scheme, Lahore",36000000.0,5,6,2250.0,2025,live
Lahore,"DHA Phase 6, DHA Defence",95000000.0,5,6,4500.0,2025,live
Lahore,"PCSIR Housing Scheme Phase 2 - Block B, PCSIR Housing Scheme Phase 2",75000000.0,5,6,4500.0,2025,live
Lahore,"DHA Phase 8 - Ex Air Avenue, DHA Phase 8",99000000.0,7,7,4500.0,2025,live
Lahore,"DHA Phase 6, DHA Defence",165000000.0,5,6,4500.0,2025,live
Lahore,"DHA Phase 7, DHA Defence",115000000.0,5,6,4500.0,2025,live
Lahore,"DHA Phase 6 - Block C, DHA Phase 6",87500000.0,5,6,4500.0,2025,live
Lahore,"LDA Avenue, Lahore",27500000.0,3,4,2250.0,2025,live
Lahore,"DHA Phase 6, DHA Defence",235000000.0,6,7,4500.0,2025,live
Lahore,"Sheraz Town, Lahore",9500000.0,3,3,675.0,2025,live
Lahore,"Sheraz Town - Abu Bakar Siddique Block, Sheraz Town",7000000.0,4,4,450.0,2025,live
Lahore,"PCSIR Staff Colony - Block A, PCSIR Staff Colony",26000000.0,2,4,2250.0,2025,live
Lahore,"Sheraz Town, Lahore",8000000.0,3,3,562.0,2025,live
Lahore,"Lake City, Raiwind Road",28000000.0,5,5,1575.0,2025,live
Lahore,"Model Town - Block K, Model Town",155000000.0,6,6,4500.0,2025,live
Lahore,"Canal Bank Housing Scheme, Lahore",13000000.0,3,3,562.0,2025,live
Lahore,"Canal Point Housing Scheme, Harbanspura",14000000.0,3,3,675.0,2025,live
Lahore,"DHA Phase 7 - Block V, DHA Phase 7",69900000.0,5,6,4500.0,2025,live
Lahore,"DHA Phase 7 - Block T, DHA Phase 7",71500000.0,5,6,4500.0,2025,live
Lahore,"DHA Phase 6, DHA Defence",80000000.0,5,6,4500.0,2025,live
Lahore,"Bahria Orchard Phase 1 - Southern, Bahria Orchard Phase 1",32000000.0,5,6,2250.0,2025,live
Lahore,"PAF Falcon Complex, Gulberg",132500000.0,5,5,4500.0,2025,live
Lahore,"DHA 9 Town - Block A, DHA 9 Town",25500000.0,3,4,1125.0,2025,live
Lahore,"Park View City, Lahore",17000000.0,5,4,1125.0,2025,live
Lahore,"DHA Phase 7, DHA Defence",135000000.0,7,7,4500.0,2025,live
Lahore,"DHA Phase 7 - Block Y, DHA Phase 7",52500000.0,4,5,2250.0,2025,live
Lahore,"MM Alam Road, Gulberg",16000000.0,0,1,450.0,2025,live
Lahore,"Park View City, Lahore",16800000.0,4,4,1125.0,2025,live
Lahore,"DHA Phase 4, DHA Defence",50400000.0,3,3,1620.0,2025,live
Lahore,"Valencia Housing Society, Lahore",96000000.0,5,7,4500.0,2025,live
Lahore,"Askari 11 - Sector D, Askari 11",36500000.0,3,3,2250.0,2025,live
Lahore,"DHA Phase 6, DHA Defence",22000000.0,3,4,1125.0,2025,live
Lahore,"Lake City, Raiwind Road",40500000.0,5,5,2250.0,2025,live
Lahore,"Lake City, Raiwind Road",20300000.0,3,4,1125.0,2025,live
Lahore,"Lake City, Raiwind Road",25900000.0,4,4,1125.0,2025,live
Lahore,"Lake City, Raiwind Road",14700000.0,4,4,1125.0,2025,live
Lahore,"Lake City, Raiwind Road",20000000.0,3,3,1125.0,2025,live
Lahore,"Park View City, Lahore",32000000.0,5,6,2250.0,2025,live
Lahore,"Park View City, Lahore",11000000.0,3,4,788.0,2025,live
Lahore,"PAF Falcon Complex, Gulberg",135000000.0,5,5,4500.0,2025,live
Lahore,"PAF Falcon Complex, Gulberg",120000000.0,5,5,4500.0,2025,live
Lahore,"Paragon City, Lahore",39000000.0,5,6,2250.0,2025,live
Lahore,"PAF Falcon Complex, Gulberg",130000000.0,5,5,4500.0,2025,live
Lahore,"PAF Falcon Complex, Gulberg",82500000.0,4,4,3150.0,2025,live
Lahore,"Bahria Town - Sector C, Bahria Town",31500000.0,5,6,2250.0,2025,live
Lahore,"DHA Phase 6 - Block D, DHA Phase 6",129500000.0,5,6,4500.0,2025,live
