city,location,price,bedrooms,baths,size,year,source
Lahore,"Rehan Garden Phase 2, Rehan Garden",9700000.0,3.0,4.0,1125.0,2023,historical
Lahore,"DHA Phase 6, DHA Defence",71500000.0,5.0,6.0,4500.0,2023,historical
Lahore,"DHA Phase 3, DHA Defence",62500000.0,5.0,6.0,4500.0,2023,historical
Lahore,"Formanites Housing Scheme - Block A, Formanites Housing Scheme",39000000.0,5.0,6.0,2250.0,2023,historical
Lahore,"DHA Phase 1 - Block D, DHA Phase 1",39500000.0,4.0,3.0,3825.0,2023,historical
Lahore,"DHA Phase 1 - Block M, DHA Phase 1",110000000.0,5.0,6.0,9000.0,2023,historical
Lahore,"DHA Phase 1, DHA Defence",70000.0,3.0,3.0,4500.0,2023,historical
Lahore,"DHA Phase 6, DHA Defence",120000000.0,5.0,5.0,4500.0,2023,historical
Lahore,"DHA Phase 6, DHA Defence",120000000.0,5.0,6.0,4500.0,2023,historical
Lahore,"DHA Phase 6, DHA Defence",35000000.0,3.0,4.0,1125.0,2023,historical
Lahore,"Johar Town Phase 2, Johar Town",27000000.0,6.0,6.0,1125.0,2023,historical
Lahore,"Gulshan-e-Lahore, Lahore",13000000.0,3.0,3.0,675.0,2023,historical
Lahore,"DHA Phase 7, DHA Defence",69000000.0,5.0,6.0,4500.0,2023,historical
Lahore,"DHA Phase 6, DHA Defence",75000000.0,5.0,6.0,4500.0,2023,historical
Lahore,"DHA Phase 6 - Block D, DHA Phase 6",41000000.0,4.0,5.0,1575.0,2023,historical
Lahore,"Canal Garden - Block A, Canal Garden",140000000.0,5.0,6.0,9000.0,2023,historical
Lahore,"DHA Phase 3, DHA Defence",290000000.0,6.0,7.0,9000.0,2023,historical
Lahore,"IEP Engineers Town, Lahore",130000000.0,8.0,8.0,9000.0,2023,historical
Lahore,"Bahria Town - Overseas B, Bahria Town - Overseas Enclave",29500000.0,5.0,6.0,2250.0,2023,historical
Lahore,"Bahria Town - Janiper Block, Bahria Town - Sector C",37000000.0,5.0,5.0,2250.0,2023,historical
Lahore,"Johar Town, Lahore",28500000.0,5.0,6.0,1238.0,2023,historical
Lahore,"Johar Town, Lahore",62500000.0,6.0,7.0,2700.0,2023,historical
Lahore,"Architects Engineers Housing Society, Lahore",31000000.0,5.0,5.0,2250.0,2023,historical
Lahore,"DHA Phase 5, DHA Defence",107500000.0,5.0,6.0,4500.0,2023,historical
Lahore,"State Life Phase 1 - Block G, State Life Housing Phase 1",32000000.0,4.0,5.0,2250.0,2023,historical
Lahore,"Ali Park, Cantt",9000000.0,3.0,4.0,675.0,2023,historical
Lahore,"Bahria Town - Safari Villas, Bahria Town - Sector B",29000000.0,4.0,3.0,2700.0,2023,historical
Lahore,"Askari 11 - Sector B Apartments, Askari 11",28000000.0,3.0,3.0,2250.0,2023,historical
Lahore,"Nasheman-e-Iqbal Phase 2, Nasheman-e-Iqbal",36500000.0,5.0,5.0,2250.0,2023,historical
Lahore,"Bahria Town - Safari Villas, Bahria Town - Sector B",18000000.0,4.0,5.0,1800.0,2023,historical
