city,location,price,bedrooms,baths,size,year,source,location_clean,location_standardized
Multan,"Buch Executive Villas, Multan",31000000.0,5.0,6.0,1688.0,2025,live,"buch executive villas, multan",Buch Executive Villas
Multan,"Royal Orchard - Block F, Royal Orchard",19500000.0,4.0,5.0,1125.0,2025,live,"royal orchard - block f, royal orchard",Royal Orchard - Block F
Multan,"Dream Garden - Block F, Dream Garden",37500000.0,5.0,6.0,2250.0,2025,live,"dream garden - block f, dream garden",Dream Garden - Block F
Multan,"Buch Executive Villas, Multan",24500000.0,5.0,6.0,1688.0,2025,live,"buch executive villas, multan",Buch Executive Villas
Multan,"Buch Executive Villas, Multan",34500000.0,5.0,6.0,2250.0,2025,live,"buch executive villas, multan",Buch Executive Villas
Multan,"Buch Executive Villas, Multan",22100000.0,5.0,6.0,1688.0,2025,live,"buch executive villas, multan",Buch Executive Villas
Multan,"Buch Executive Villas, Multan",16000000.0,4.0,4.0,1125.0,2025,live,"buch executive villas, multan",Buch Executive Villas
Multan,"Wapda Town Phase 1, Wapda Town",55000000.0,6.0,6.0,4500.0,2025,live,"wapda town phase 1, wapda town",Wapda Town Phase 1
Multan,"Buch Executive Villas, Multan",34800000.0,5.0,5.0,2250.0,2025,live,"buch executive villas, multan",Buch Executive Villas
Multan,"Lodhi Colony Road, Multan",19000000.0,3.0,5.0,2250.0,2025,live,"lodhi colony road, multan",Lodhi Colony Road
Multan,"North Gulgasht, Multan",24500000.0,4.0,4.0,2475.0,2025,live,"north gulgasht, multan",North Gulgasht
Multan,"Wapda Town Phase 1, Wapda Town",73000000.0,7.0,6.0,4500.0,2025,live,"wapda town phase 1, wapda town",Wapda Town Phase 1
Multan,"Askari 3, DHA Defence",50000000.0,5.0,6.0,4500.0,2025,live,"askari 3, dha defence",Askari 3
Multan,"Buch Executive Villas, Multan",18900000.0,4.0,5.0,1125.0,2025,live,"buch executive villas, multan",Buch Executive Villas
